Country,Country Code,Continent Code,Percent,Millions
Afghanistan,AFG,AS,22.2,6.4
Albania,ALB,EU,6.7,0.2
Algeria,DZA,AF,5.6,2.0
Angola,AGO,AS,17.9,3.9
Argentina,ARG,EU,3.9,1.6
Armenia,ARM,EU,5.7,0.2
Bangladesh,BGD,AS,16.9,26.0
Benin,BEN,EU,11.7,1.1
Bolivia (Plurinational State of),BOL,NA,24.6,2.5
Botswana,BWA,AN,26.6,0.6
Bulgaria,BGR,AN,5.4,0.4
Burkina Faso,BFA,EU,20.7,3.3
Cambodia,KHM,AS,18.6,2.7
Cameroon,CMR,AN,10.2,2.2
Central African Republic,CAF,AN,35.6,1.6
Chad,TCD,OC,38.9,4.8
Chile,CHL,AN,4.1,0.7
China,CHN,AN,11.3,156.0
Colombia,COL,AN,10.9,5.0
Congo,COD,AN,29.2,1.2
Congo,COG,AN,29.2,1.2
Costa Rica,CRI,AN,5.2,0.2
Ivory Coast,CIV,AN,16.0,3.3
Croatia,HRV,NA,2.6,0.1
North Korea,PRK,AS,41.9,10.3
Djibouti,DJI,AN,21.2,0.2
Dominican Republic,DOM,NA,14.6,1.5
Ecuador,ECU,NA,11.7,1.8
Egypt,EGY,NA,4.5,3.7
El Salvador,SLV,OC,12.9,0.8
Ethiopia,ETH,NA,31.0,27.8
Gabon,GAB,NA,8.6,0.1
Gambia,GMB,NA,9.0,0.2
Georgia,GEO,NA,8.4,0.4
Ghana,GHA,NA,5.6,1.4
Guatemala,GTM,NA,15.6,2.4
Guinea,GIN,AF,17.4,2.0
Guinea-Bissau,GNB,NA,22.7,0.4
Haiti,HTI,NA,49.6,5.0
Honduras,HND,NA,15.5,1.2
India,IND,NA,15.5,193.6
Indonesia,IDN,NA,10.1,24.8
Iran,IRN,AS,5.7,4.3
Iraq,IRQ,AS,26.3,8.4
Jamaica,JAM,AS,9.0,0.2
Jordan,JOR,AS,3.6,0.2
Kazakhstan,KAZ,AS,2.7,0.4
Kenya,KEN,AS,22.6,9.4
Kyrgyzstan,KGZ,AS,7.7,0.4
Laos,LAO,AS,19.2,1.2
Lebanon,LBN,AS,4.5,0.2
Lesotho,LSO,AS,13.2,0.3
Liberia,LBR,AS,36.7,1.5
Madagascar,MDG,AS,31.9,6.9
Malawi,MWI,AS,21.3,3.2
Malaysia,MYS,AS,3.5,1.0
Mali,MLI,AS,6.8,1.1
Mauritania,MRT,AS,7.8,0.3
Mexico,MEX,AS,4.6,5.5
Mongolia,MNG,AS,19.6,0.5
Morocco,MAR,AS,5.0,1.6
Mozambique,MOZ,AS,28.8,7.2
Myanmar,MMR,AS,15.5,8.1
Namibia,NAM,AS,36.3,0.8
Nepal,NPL,AS,9.3,2.5
Nicaragua,NIC,AS,20.0,1.2
Niger,NER,AS,10.9,1.9
Nigeria,NGA,AS,6.4,10.5
Oman,OMN,AS,5.2,0.2
Pakistan,PAK,AS,21.0,36.5
Panama,PAN,AS,11.9,0.4
Paraguay,PRY,AS,11.9,0.7
Peru,PER,AS,10.1,3.0
Philippines,PHL,AS,13.9,13.1
Moldova,MDA,AS,11.0,0.4
Rwanda,RWA,AS,33.3,3.5
Saudi Arabia,SAU,AS,6.3,1.8
Senegal,SEN,AS,12.8,1.7
Serbia,SRB,OC,6.0,0.5
Sierra Leone,SLE,OC,25.4,1.5
Slovakia,SVK,OC,4.1,0.2
South Africa,ZAF,AF,3.7,1.9
Sri Lanka,LKA,AS,25.1,5.1
Swaziland,SWZ,OC,23.1,0.3
Tajikistan,TJK,OC,36.8,2.9
Thailand,THA,OC,8.8,5.9
East Timor,TLS,OC,29.8,0.3
Togo,TGO,OC,19.8,1.3
Trinidad and Tobago,TTO,OC,8.6,0.1
Tunisia,TUN,OC,4.6,0.5
Turkmenistan,TKM,OC,5.1,0.3
Uganda,UGA,OC,31.8,10.9
United Arab Emirates,ARE,EU,5.6,0.5
Tanzania,TZA,OC,33.6,15.8
Uzbekistan,UZB,OC,7.9,2.2
Venezuela,VEN,OC,3.7,1.1
Vietnam,VNM,OC,13.0,11.6
Yemen,YEM,AF,25.0,6.1
Zambia,ZMB,AF,48.7,7.0
Zimbabwe,ZWE,AF,32.7,4.7
