Country,iso3,Continent Code,Percent,Millions,Continent Name
Afghanistan,AFG,AS,23.8, 7.5,Asia
Albania,ALB,EU,5.1,0.1,Europe
Algeria,DZA,AF,4.6,1.8,Africa
Angola,AGO,AF,14.4,3.5,Africa
Argentina,ARG,SA,3.4,1.5,South America
Armenia,ARM,AS,4.2,0.1,Asia
Bangladesh,BGD,AS,16.0,25.4,Asia
Benin,BEN,AF,10.0,1.1,Africa
Bolivia (Plurinational State of),BOL,SA,20.8,2.2,South America
Botswana,BWA,AF,24.6,0.5,Africa
Bulgaria,BGR,EU,3.8,0.3,Europe
Burkina Faso,BFA,AF,19.1,3.4,Africa
Cambodia,KHM,AS,16.1,2.5,Asia
Cameroon,CMR,AF,7.9,1.8,Africa
Central African Republic,CAF,AF,55.1,2.6,Africa
Chad,TCD,AF,35.3,4.8,Africa
Chile,CHL,SA,3.8,0.7,South America
China,CHN,AS,9.9,138.7,Asia
Colombia,COL,SA,7.7,3.7,South America
Congo,COD,AF,27.1,1.2,Africa
Congo,COG,AF,27.1,1.2,Africa
Costa Rica,CRI,NA,5.7,0.3,North America
Ivory Coast,CIV,AF,15.1,3.3,Africa
North Korea,PRK,AS,41.0,10.2,Asia
Djibouti,DJI,AF,14.7,0.1,Africa
Dominican Republic,DOM,NA,13.7,1.4,North America
Ecuador,ECU,SA,11.9,1.9,South America
Egypt,EGY,AF,4.4,3.9,Africa
El Salvador,SLV,NA,12.1,0.7,North America
Ethiopia,ETH,AF,28.5,27.6,Africa
Gabon,GAB,AF,7.0,0.1,Africa
Gambia,GMB,AF,10.5,0.2,Africa
Georgia,GEO,AS,6.7,0.3,Asia
Ghana,GHA,AF,6.8,1.8,Africa
Guatemala,GTM,NA,16.2,2.6,North America
Guinea,GIN,AF,16.7,2.0,Africa
Guinea-Bissau,GNB,AF,26.8,0.5,Africa
Haiti,HTI,NA,48.2,5.1,North America
Honduras,HND,NA,15.8,1.3,North America
India,IND,AS,14.9,192.8,Asia
Indonesia,IDN,AS,7.0,17.7,Asia
Iran,IRN,AS,5.4,4.2,Asia
Iraq,IRQ,AS,26.7,9.4,Asia
Jamaica,JAM,NA,9.2,0.3,North America
Jordan,JOR,AS,4.2,0.3,Asia
Kenya,KEN,AF,19.4,8.7,Africa
Kyrgyzstan,KGZ,AS,6.7,0.4,Asia
Laos,LAO,AS,17.0,1.1,Asia
Lebanon,LBN,AS,5.3,0.3,Asia
Lesotho,LSO,AF,14.4,0.3,Africa
Liberia,LBR,AF,41.2,1.8,Africa
Madagascar,MDG,AF,39.0,9.2,Africa
Malawi,MWI,AF,23.5,3.9,Africa
Malaysia,MYS,AS,2.6,0.8,Asia
Mali,MLI,AF,4.9,0.8,Africa
Mauritania,MRT,AF,5.7,0.2,Africa
Mexico,MEX,NA,4.4,5.5,North America
Mongolia,MNG,AS,18.3,0.5,Asia
Morocco,MAR,AF,4.1,1.4,Africa
Mozambique,MOZ,AF,26.8,7.3,Africa
Myanmar,MMR,AS,14.4,7.7,Asia
Namibia,NAM,AF,29.7,0.7,Africa
Nepal,NPL,AS,8.2,2.3,Asia
Nicaragua,NIC,NA,17.1,1.0,North America
Niger,NER,AF,10.0,1.9,Africa
Nigeria,NGA,AF,7.3,13.0,Africa
Oman,OMN,AS,5.7,0.2,Asia
Pakistan,PAK,AS,20.7,38.3,Asia
Panama,PAN,NA,9.5,0.4,North America
Paraguay,PRY,SA,12.4,0.8,South America
Peru,PER,SA,7.6,2.4,South America
Philippines,PHL,AS,14.3,14.1,Asia
Moldova,MDA,EU,8.1,0.3,Europe
Rwanda,RWA,AF,38.5,4.4,Africa
Saudi Arabia,SAU,AS,4.8,1.5,Asia
Senegal,SEN,AF,11.6,1.7,Africa
Serbia,SRB,EU,5.7,0.5,Europe
Sierra Leone,SLE,AF,25.7,1.6,Africa
Slovakia,SVK,EU,3.3,0.2,Europe
South Africa,ZAF,AF,4.0,2.2,Africa
Sri Lanka,LKA,AS,23.0,4.7,Asia
Sudan,SDN,AF,25.7,10.1,Africa
Swaziland,SWZ,AF,20.5,0.3,Africa
Tajikistan,TJK,AS,30.5,2.5,Asia
Thailand,THA,AS,8.5,5.7,Asia
East Timor,TLS,AS,27.0,0.3,Asia
Togo,TGO,AF,13.3,0.9,Africa
Tunisia,TUN,AF,4.5,0.5,Africa
Turkmenistan,TKM,AS,5.5,0.3,Asia
Uganda,UGA,AF,36.4,13.8,Africa
United Arab Emirates,ARE,AS,4.0,0.4,Asia
Tanzania,TZA,AF,30.6,15.8,Africa
Uzbekistan,UZB,AS,6.5,1.9,Asia
Venezuela,VEN,SA,9.1,2.8,South America
Vietnam,VNM,AS,11.2,10.3,Asia
Yemen,YEM,AS,25.2,6.6,Asia
Zambia,ZMB,AF,46.6,7.3,Africa
Zimbabwe,ZWE,AF,41.3,6.3,Africa
