Country,Country Code,Continent Code,Percent,Millions
Afghanistan,AFG,AS,36.1,8.5
Albania,ALB,EU,10.7,0.3
Algeria,DZA,AF,9.0,3.0
Angola,AGO,AS,35.0,6.1
Argentina,ARG,EU,5.2,2.0
Armenia,ARM,EU,11.1,0.3
Azerbaijan,AZE,EU,8.4,0.7
Bangladesh,BGD,AS,17.1,24.0
Belarus,BLR,EU,3.6,0.3
Benin,BEN,EU,16.3,1.3
Bolivia (Plurinational State of),BOL,NA,31.4,2.8
Bosnia and Herzegovina,BIH,EU,3.7,0.1
Botswana,BWA,AN,32.5,0.6
Brazil,BRA,NA,5.5,10.2
Bulgaria,BGR,AN,6.3,0.5
Burkina Faso,BFA,EU,25.3,3.3
Cambodia,KHM,AS,20.8,2.7
Cameroon,CMR,AN,22.3,3.9
Central African Republic,CAF,AN,41.1,1.6
Chad,TCD,OC,39.1,3.8
Chile,CHL,AN,4.0,0.6
China,CHN,AN,15.6,206.8
Colombia,COL,AN,9.3,4.0
Congo,COD,AN,30.7,1.0
Congo,COG,AN,30.7,1.0
Costa Rica,CRI,AN,5.8,0.2
Ivory Coast,CIV,AN,16.9,3.0
Croatia,HRV,NA,3.5,0.2
North Korea,PRK,AS,34.1,8.1
Djibouti,DJI,AN,36.6,0.3
Dominican Republic,DOM,NA,27.0,2.5
Ecuador,ECU,NA,17.7,2.4
Egypt,EGY,NA,5.5,4.1
El Salvador,SLV,OC,10.2,0.6
Ethiopia,ETH,NA,42.0,31.3
Gabon,GAB,NA,10.1,0.1
Gambia,GMB,NA,15.1,0.2
Georgia,GEO,NA,8.1,0.4
Ghana,GHA,NA,10.2,2.1
Guatemala,GTM,NA,16.1,2.1
Guinea,GIN,AF,22.5,2.1
Guinea-Bissau,GNB,NA,25.1,0.4
Haiti,HTI,NA,57.6,5.3
Honduras,HND,NA,17.5,1.2
India,IND,NA,21.2,239.0
Indonesia,IDN,NA,18.5,41.3
Iran,IRN,AS,5.9,4.1
Iraq,IRQ,AS,27.4,7.2
Jamaica,JAM,AS,6.7,0.2
Jordan,JOR,AS,3.6,0.2
Kazakhstan,KAZ,AS,6.1,0.9
Kenya,KEN,AS,31.9,11.0
Kyrgyzstan,KGZ,AS,10.2,0.5
Laos,LAO,AS,28.9,1.6
Lebanon,LBN,AS,3.2,0.1
Lesotho,LSO,AS,12.0,0.2
Liberia,LBR,AS,40.0,1.3
Madagascar,MDG,AS,36.9,6.6
Malawi,MWI,AS,27.3,3.4
Malaysia,MYS,AS,3.8,1.0
Mali,MLI,AS,12.3,1.5
Mauritania,MRT,AS,12.2,0.4
Mexico,MEX,AS,5.7,6.2
Mongolia,MNG,AS,32.2,0.8
Morocco,MAR,AS,5.8,1.8
Mozambique,MOZ,AS,37.5,7.7
Myanmar,MMR,AS,35.3,17.5
Namibia,NAM,AS,24.6,0.5
Nepal,NPL,AS,17.1,4.3
Nicaragua,NIC,AS,25.4,1.4
Niger,NER,AS,16.0,2.1
Nigeria,NGA,AS,7.5,10.2
Oman,OMN,AS,10.9,0.3
Pakistan,PAK,AS,24.5,36.8
Panama,PAN,AS,23.9,0.8
Paraguay,PRY,AS,11.2,0.6
Peru,PER,AS,21.6,5.9
Philippines,PHL,AS,17.4,14.7
Moldova,MDA,AS,22.7,0.9
Russia,RUS,AS,2.6,3.7
Rwanda,RWA,AS,44.8,4.0
Saudi Arabia,SAU,AS,8.1,1.9
Senegal,SEN,AS,23.1,2.5
Sierra Leone,SLE,OC,39.0,1.9
Slovakia,SVK,OC,6.3,0.3
South Africa,ZAF,AF,4.2,2.0
Sri Lanka,LKA,AS,29.8,5.8
Swaziland,SWZ,OC,15.7,0.2
Tajikistan,TJK,OC,43.2,2.9
Thailand,THA,OC,14.0,9.2
Macedonia,MKD,AS,6.7,0.1
East Timor,TLS,OC,31.0,0.3
Togo,TGO,OC,26.7,1.5
Trinidad and Tobago,TTO,OC,12.0,0.2
Tunisia,TUN,OC,5.6,0.6
Turkmenistan,TKM,OC,5.3,0.2
Uganda,UGA,OC,23.9,6.5
United Arab Emirates,ARE,EU,3.4,0.1
Tanzania,TZA,OC,35.9,13.6
Uruguay,URY,OC,4.3,0.1
Uzbekistan,UZB,OC,17.0,4.3
Venezuela,VEN,OC,13.1,3.4
Vietnam,VNM,OC,18.5,15.4
Yemen,YEM,AF,30.9,6.2
Zambia,ZMB,AF,50.4,5.9
Zimbabwe,ZWE,AF,41.2,5.3
