Country,iso3,Continent Code,Percent,Millions,Continent Name
Albania,ALB,EU,10.7,0.3,Europe
Algeria,DZA,AF,9.0,3.0,Africa
Angola,AGO,AF,35.0,6.1,Africa
Argentina,ARG,SA,5.2,2.0,South America
Armenia,ARM,AS,11.1,0.3,Asia
Azerbaijan,AZE,AS,8.4,0.7,Asia
Bangladesh,BGD,AS,17.1,24.0,Asia
Belarus,BLR,EU,3.6,0.3,Europe
Benin,BEN,AF,16.3,1.3,Africa
Bolivia (Plurinational State of),BOL,SA,31.4,2.8,South America
Bosnia and Herzegovina,BIH,EU,3.7,0.1,Europe
Botswana,BWA,AF,32.5,0.6,Africa
Brazil,BRA,SA,5.5,10.2,South America
Bulgaria,BGR,EU,6.3,0.5,Europe
Burkina Faso,BFA,AF,25.3,3.3,Africa
Cambodia,KHM,AS,20.8,2.7,Asia
Cameroon,CMR,AF,22.3,3.9,Africa
Central African Republic,CAF,AF,41.1,1.6,Africa
Chad,TCD,AF,39.1,3.8,Africa
Chile,CHL,SA,4.0,0.6,South America
China,CHN,AS,15.6,206.8,Asia
Colombia,COL,SA,9.3,4.0,South America
Congo,COD,AF,30.7,1.0,Africa
Congo,COG,AF,30.7,1.0,Africa
Costa Rica,CRI,NA,5.8,0.2,North America
Ivory Coast,CIV,AF,16.9,3.0,Africa
Croatia,HRV,EU,3.5,0.2,Europe
North Korea,PRK,AS,34.1,8.1,Asia
Djibouti,DJI,AF,36.6,0.3,Africa
Dominican Republic,DOM,NA,27.0,2.5,North America
Ecuador,ECU,SA,17.7,2.4,South America
Egypt,EGY,AF,5.5,4.1,Africa
El Salvador,SLV,NA,10.2,0.6,North America
Ethiopia,ETH,AF,42.0,31.3,Africa
Gabon,GAB,AF,10.1,0.1,Africa
Gambia,GMB,AF,15.1,0.2,Africa
Georgia,GEO,AS,8.1,0.4,Asia
Ghana,GHA,AF,10.2,2.1,Africa
Guatemala,GTM,NA,16.1,2.1,North America
Guinea,GIN,AF,22.5,2.1,Africa
Guinea-Bissau,GNB,AF,25.1,0.4,Africa
Haiti,HTI,NA,57.6,5.3,North America
Honduras,HND,NA,17.5,1.2,North America
India,IND,AS,21.2,239.0,Asia
Indonesia,IDN,AS,18.5,41.3,Asia
Iran,IRN,AS,5.9,4.1,Asia
Iraq,IRQ,AS,27.4,7.2,Asia
Jamaica,JAM,NA,6.7,0.2,North America
Jordan,JOR,AS,3.6,0.2,Asia
Kazakhstan,KAZ,AS,6.1,0.9,Asia
Kenya,KEN,AF,31.9,11.0,Africa
Kyrgyzstan,KGZ,AS,10.2,0.5,Asia
Laos,LAO,AS,28.9,1.6,Asia
Lebanon,LBN,AS,3.2,0.1,Asia
Lesotho,LSO,AF,12.0,0.2,Africa
Liberia,LBR,AF,40.0,1.3,Africa
Madagascar,MDG,AF,36.9,6.6,Africa
Malawi,MWI,AF,27.3,3.4,Africa
Malaysia,MYS,AS,3.8,1.0,Asia
Mali,MLI,AF,12.3,1.5,Africa
Mauritania,MRT,AF,12.2,0.4,Africa
Mexico,MEX,NA,5.7,6.2,North America
Mongolia,MNG,AS,32.2,0.8,Asia
Morocco,MAR,AF,5.8,1.8,Africa
Mozambique,MOZ,AF,37.5,7.7,Africa
Myanmar,MMR,AS,35.3,17.5,Asia
Namibia,NAM,AF,24.6,0.5,Africa
Nepal,NPL,AS,17.1,4.3,Asia
Nicaragua,NIC,NA,25.4,1.4,North America
Niger,NER,AF,16.0,2.1,Africa
Nigeria,NGA,AF,7.5,10.2,Africa
Oman,OMN,AS,10.9,0.3,Asia
Pakistan,PAK,AS,24.5,36.8,Asia
Panama,PAN,NA,23.9,0.8,North America
Paraguay,PRY,SA,11.2,0.6,South America
Peru,PER,SA,21.6,5.9,South America
Philippines,PHL,AS,17.4,14.7,Asia
Moldova,MDA,EU,22.7,0.9,Europe
Russia,RUS,AS,2.6,3.7,Asia
Rwanda,RWA,AF,44.8,4.0,Africa
Saudi Arabia,SAU,AS,8.1,1.9,Asia
Senegal,SEN,AF,23.1,2.5,Africa
Sierra Leone,SLE,AF,39.0,1.9,Africa
Slovakia,SVK,EU,6.3,0.3,Europe
South Africa,ZAF,AF,4.2,2.0,Africa
Sri Lanka,LKA,AS,29.8,5.8,Asia
Swaziland,SWZ,AF,15.7,0.2,Africa
Tajikistan,TJK,AS,43.2,2.9,Asia
Thailand,THA,AS,14.0,9.2,Asia
Macedonia,MKD,EU,6.7,0.1,Europe
East Timor,TLS,AS,31.0,0.3,Asia
Togo,TGO,AF,26.7,1.5,Africa
Trinidad and Tobago,TTO,NA,12.0,0.2,North America
Tunisia,TUN,AF,5.6,0.6,Africa
Turkmenistan,TKM,AS,5.3,0.2,Asia
Uganda,UGA,AF,23.9,6.5,Africa
United Arab Emirates,ARE,AS,3.4,0.1,Asia
Tanzania,TZA,AF,35.9,13.6,Africa
Uruguay,URY,SA,4.3,0.1,South America
Uzbekistan,UZB,AS,17.0,4.3,Asia
Venezuela,VEN,SA,13.1,3.4,South America
Vietnam,VNM,AS,18.5,15.4,Asia
Yemen,YEM,AS,30.9,6.2,Asia
Zambia,ZMB,AF,50.4,5.9,Africa
Zimbabwe,ZWE,AF,41.2,5.3,Africa
