Country,iso3,Continent Code,Percent,Millions,Continent Name
Afghanistan,AFG,AS,23.4, 7.2,Asia
Albania,ALB,EU,5.5,0.2,Europe
Algeria,DZA,AF,4.7,1.8,Africa
Angola,AGO,AF,15.3,3.6,Africa
Argentina,ARG,SA,3.6,1.5,South America
Armenia,ARM,AS,4.6,0.1,Asia
Bangladesh,BGD,AS,16.4,25.8,Asia
Benin,BEN,AF,10.8,1.1,Africa
Bolivia (Plurinational State of),BOL,SA,21.9,2.3,South America
Botswana,BWA,AF,24.6,0.5,Africa
Bulgaria,BGR,EU,4.4,0.3,Europe
Burkina Faso,BFA,AF,19.9,3.4,Africa
Cambodia,KHM,AS,17.1,2.6,Asia
Cameroon,CMR,AF,8.3,1.8,Africa
Central African Republic,CAF,AF,48.6,2.3,Africa
Chad,TCD,AF,36.9,4.8,Africa
Chile,CHL,SA,3.8,0.7,South America
China,CHN,AS,10.3,144.1,Asia
Colombia,COL,SA,8.8,4.2,South America
Congo,COD,AF,27.3,1.2,Africa
Congo,COG,AF,27.3,1.2,Africa
Costa Rica,CRI,NA,5.6,0.3,North America
Ivory Coast,CIV,AF,15.2,3.3,Africa
North Korea,PRK,AS,41.4,10.3,Asia
Djibouti,DJI,AF,17.2,0.1,Africa
Dominican Republic,DOM,NA,13.6,1.4,North America
Ecuador,ECU,SA,11.7,1.8,South America
Egypt,EGY,AF,4.4,3.8,Africa
El Salvador,SLV,NA,12.4,0.8,North America
Ethiopia,ETH,AF,29.4,27.8,Africa
Gabon,GAB,AF,7.3,0.1,Africa
Gambia,GMB,AF,9.9,0.2,Africa
Georgia,GEO,AS,7.5,0.3,Asia
Ghana,GHA,AF,6.5,1.7,Africa
Guatemala,GTM,NA,16.4,2.6,North America
Guinea,GIN,AF,16.8,2.0,Africa
Guinea-Bissau,GNB,AF,25.0,0.4,Africa
Haiti,HTI,NA,49.4,5.2,North America
Honduras,HND,NA,15.7,1.2,North America
India,IND,AS,15.2,195.1,Asia
Indonesia,IDN,AS,7.6,19.1,Asia
Iran,IRN,AS,5.5,4.2,Asia
Iraq,IRQ,AS,26.0,8.9,Asia
Jamaica,JAM,NA,9.5,0.3,North America
Jordan,JOR,AS,3.9,0.3,Asia
Kenya,KEN,AF,20.5,9.0,Africa
Kyrgyzstan,KGZ,AS,6.9,0.4,Asia
Laos,LAO,AS,17.4,1.1,Asia
Lebanon,LBN,AS,5.1,0.3,Asia
Lesotho,LSO,AF,14.1,0.3,Africa
Liberia,LBR,AF,39.2,1.7,Africa
Madagascar,MDG,AF,35.5,8.1,Africa
Malawi,MWI,AF,21.7,3.5,Africa
Malaysia,MYS,AS,3.0,0.9,Asia
Mali,MLI,AF,5.8,1.0,Africa
Mauritania,MRT,AF,6.3,0.2,Africa
Mexico,MEX,NA,4.5,5.5,North America
Mongolia,MNG,AS,18.3,0.5,Asia
Morocco,MAR,AF,4.3,1.4,Africa
Mozambique,MOZ,AF,27.3,7.2,Africa
Myanmar,MMR,AS,14.4,7.6,Asia
Namibia,NAM,AF,31.4,0.7,Africa
Nepal,NPL,AS,8.5,2.4,Asia
Nicaragua,NIC,NA,17.9,1.1,North America
Niger,NER,AF,10.3,1.9,Africa
Nigeria,NGA,AF,6.7,11.6,Africa
Oman,OMN,AS,5.3,0.2,Asia
Pakistan,PAK,AS,20.8,37.8,Asia
Panama,PAN,NA,9.9,0.4,North America
Paraguay,PRY,SA,12.3,0.8,South America
Peru,PER,SA,8.3,2.5,South America
Philippines,PHL,AS,14.4,14.1,Asia
Moldova,MDA,EU,7.8,0.3,Europe
Rwanda,RWA,AF,35.6,3.9,Africa
Saudi Arabia,SAU,AS,5.1,1.6,Asia
Senegal,SEN,AF,12.1,1.7,Africa
Serbia,SRB,EU,5.9,0.5,Europe
Sierra Leone,SLE,AF,24.6,1.5,Africa
Slovakia,SVK,EU,3.7,0.2,Europe
South Africa,ZAF,AF,3.8,2.0,Africa
Sri Lanka,LKA,AS,23.7,4.9,Asia
Sudan,SDN,AF,25.8,9.9,Africa
Swaziland,SWZ,AF,21.5,0.3,Africa
Tajikistan,TJK,AS,32.0,2.6,Asia
Thailand,THA,AS,8.5,5.7,Asia
East Timor,TLS,AS,27.4,0.3,Asia
Togo,TGO,AF,15.7,1.1,Africa
Tunisia,TUN,AF,4.5,0.5,Africa
Turkmenistan,TKM,AS,5.4,0.3,Asia
Uganda,UGA,AF,34.5,12.6,Africa
United Arab Emirates,ARE,AS,4.6,0.4,Asia
Tanzania,TZA,AF,31.4,15.8,Africa
Uzbekistan,UZB,AS,6.7,2.0,Asia
Venezuela,VEN,SA,6.5,2.0,South America
Vietnam,VNM,AS,11.9,10.8,Asia
Yemen,YEM,AS,24.6,6.3,Asia
Zambia,ZMB,AF,47.4,7.2,Africa
Zimbabwe,ZWE,AF,37.3,5.6,Africa
