Country,iso3,Continent Code,Percent,Millions,Continent Name
Albania,ALB,EU,9.7,0.3,Europe
Algeria,DZA,AF,7.5,2.6,Africa
Angola,AGO,AF,23.7,4.7,Africa
Argentina,ARG,SA,4.1,1.7,South America
Armenia,ARM,AS,5.2,0.2,Asia
Azerbaijan,AZE,AS,2.6,0.2,Asia
Bangladesh,BGD,AS,16.4,24.3,Asia
Benin,BEN,AF,12.8,1.2,Africa
Bolivia (Plurinational State of),BOL,SA,28.1,2.7,South America
Bosnia and Herzegovina,BIH,EU,2.8,0.1,Europe
Botswana,BWA,AF,31.9,0.6,Africa
Brazil,BRA,SA,2.6,5.1,South America
Bulgaria,BGR,EU,5.8,0.4,Europe
Burkina Faso,BFA,AF,22.6,3.3,Africa
Cambodia,KHM,AS,18.7,2.6,Asia
Cameroon,CMR,AF,14.5,2.8,Africa
Central African Republic,CAF,AF,34.7,1.5,Africa
Chad,TCD,AF,40.7,4.5,Africa
Chile,CHL,SA,4.1,0.7,South America
China,CHN,AS,13.5,182.9,Asia
Colombia,COL,SA,9.5,4.3,South America
Congo,COD,AF,33.0,1.3,Africa
Congo,COG,AF,33.0,1.3,Africa
Costa Rica,CRI,NA,5.1,0.2,North America
Ivory Coast,CIV,AF,16.5,3.2,Africa
North Korea,PRK,AS,40.8,9.9,Asia
Djibouti,DJI,AF,24.1,0.2,Africa
Dominican Republic,DOM,NA,20.2,1.9,North America
Ecuador,ECU,SA,14.6,2.1,South America
Egypt,EGY,AF,4.6,3.6,Africa
El Salvador,SLV,NA,11.6,0.7,North America
Ethiopia,ETH,AF,35.6,29.6,Africa
Gabon,GAB,AF,10.2,0.2,Africa
Gambia,GMB,AF,11.3,0.2,Africa
Georgia,GEO,AS,6.9,0.3,Asia
Ghana,GHA,AF,6.4,1.5,Africa
Guatemala,GTM,NA,15.9,2.2,North America
Guinea,GIN,AF,18.6,1.9,Africa
Guinea-Bissau,GNB,AF,23.8,0.4,Africa
Haiti,HTI,NA,52.5,5.1,North America
Honduras,HND,NA,15.6,1.1,North America
India,IND,AS,16.3,195.0,Asia
Indonesia,IDN,AS,17.0,39.9,Asia
Iran,IRN,AS,6.4,4.6,Asia
Iraq,IRQ,AS,29.6,8.6,Asia
Jamaica,JAM,NA,8.2,0.2,North America
Jordan,JOR,AS,3.7,0.2,Asia
Kazakhstan,KAZ,AS,3.8,0.6,Asia
Kenya,KEN,AF,25.6,9.8,Africa
Kyrgyzstan,KGZ,AS,9.8,0.5,Asia
Laos,LAO,AS,23.6,1.4,Asia
Lebanon,LBN,AS,3.9,0.2,Asia
Lesotho,LSO,AF,12.3,0.2,Africa
Liberia,LBR,AF,37.3,1.4,Africa
Madagascar,MDG,AF,32.3,6.4,Africa
Malawi,MWI,AF,22.4,3.1,Africa
Malaysia,MYS,AS,4.2,1.1,Asia
Mali,MLI,AF,7.9,1.1,Africa
Mauritania,MRT,AF,9.4,0.3,Africa
Mexico,MEX,NA,4.6,5.3,North America
Mongolia,MNG,AS,24.2,0.6,Asia
Morocco,MAR,AF,5.5,1.7,Africa
Mozambique,MOZ,AF,33.3,7.7,Africa
Myanmar,MMR,AS,21.7,11.1,Asia
Namibia,NAM,AF,33.5,0.7,Africa
Nepal,NPL,AS,12.6,3.3,Asia
Nicaragua,NIC,NA,22.1,1.2,North America
Niger,NER,AF,12.5,1.9,Africa
Nigeria,NGA,AF,6.1,9.2,Africa
Oman,OMN,AS,6.7,0.2,Asia
Pakistan,PAK,AS,21.3,34.8,Asia
Panama,PAN,NA,16.5,0.6,North America
Paraguay,PRY,SA,12.8,0.8,South America
Peru,PER,SA,14.2,4.1,South America
Philippines,PHL,AS,13.3,12.1,Asia
Moldova,MDA,EU,18.5,0.8,Europe
Rwanda,RWA,AF,38.7,3.8,Africa
Saudi Arabia,SAU,AS,7.8,2.1,Asia
Senegal,SEN,AF,14.5,1.8,Africa
Serbia,SRB,EU,5.9,0.5,Europe
Sierra Leone,SLE,AF,30.6,1.7,Africa
Slovakia,SVK,EU,5.4,0.3,Europe
South Africa,ZAF,AF,4.4,2.2,Africa
Sri Lanka,LKA,AS,27.1,5.4,Asia
Swaziland,SWZ,AF,23.0,0.3,Africa
Tajikistan,TJK,AS,38.6,2.8,Asia
Thailand,THA,AS,10.0,6.6,Asia
East Timor,TLS,AS,32.9,0.3,Asia
Togo,TGO,AF,22.6,1.4,Africa
Trinidad and Tobago,TTO,NA,10.4,0.1,North America
Tunisia,TUN,AF,5.2,0.5,Africa
Turkmenistan,TKM,AS,4.5,0.2,Asia
Uganda,UGA,AF,29.8,9.2,Africa
United Arab Emirates,ARE,AS,6.1,0.4,Asia
Tanzania,TZA,AF,34.2,14.7,Africa
Uzbekistan,UZB,AS,10.2,2.7,Asia
Venezuela,VEN,SA,4.0,1.1,South America
Vietnam,VNM,AS,15.5,13.4,Asia
Yemen,YEM,AS,27.1,6.0,Asia
Zambia,ZMB,AF,53.0,7.0,Africa
Zimbabwe,ZWE,AF,36.0,4.9,Africa
