Country,iso3,Continent Code,Percent,Millions,Continent Name
Albania,ALB,EU,7.2,0.2,Europe
Algeria,DZA,AF,10.7,3.3,Africa
Angola,AGO,AF,50.0,7.5,Africa
Argentina,ARG,SA,3.5,1.3,South America
Armenia,ARM,AS,23.8,0.7,Asia
Azerbaijan,AZE,AS,23.2,1.9,Asia
Bangladesh,BGD,AS,20.8,27.2,Asia
Benin,BEN,AF,22.6,1.6,Africa
Bolivia (Plurinational State of),BOL,SA,33.4,2.8,South America
Bosnia and Herzegovina,BIH,EU,4.7,0.2,Europe
Botswana,BWA,AF,35.6,0.6,Africa
Brazil,BRA,SA,12.0,21.1,South America
Bulgaria,BGR,EU,4.8,0.4,Europe
Burkina Faso,BFA,AF,25.4,2.9,Africa
Cambodia,KHM,AS,29.2,3.6,Asia
Cameroon,CMR,AF,30.6,4.9,Africa
Central African Republic,CAF,AF,42.6,1.6,Africa
Chad,TCD,AF,40.1,3.3,Africa
Chile,CHL,SA,4.7,0.7,South America
China,CHN,AS,15.9,206.1,Asia
Colombia,COL,SA,9.7,3.9,South America
Congo,COD,AF,32.5,1.0,Africa
Congo,COG,AF,32.5,1.0,Africa
Costa Rica,CRI,NA,5.1,0.2,North America
Ivory Coast,CIV,AF,17.6,2.9,Africa
Croatia,HRV,EU,10.4,0.5,Europe
Cuba,CUB,NA,3.7,0.4,North America
North Korea,PRK,AS,37.5,8.6,Asia
Djibouti,DJI,AF,48.1,0.3,Africa
Dominican Republic,DOM,NA,28.1,2.4,North America
Ecuador,ECU,SA,18.5,2.3,South America
Egypt,EGY,AF,5.3,3.6,Africa
El Salvador,SLV,NA,11.2,0.7,North America
Ethiopia,ETH,AF,51.9,34.5,Africa
Gabon,GAB,AF,9.4,0.1,Africa
Gambia,GMB,AF,13.1,0.2,Africa
Georgia,GEO,AS,13.7,0.6,Asia
Ghana,GHA,AF,15.9,3.0,Africa
Guatemala,GTM,NA,20.7,2.4,North America
Guinea,GIN,AF,26.3,2.3,Africa
Guinea-Bissau,GNB,AF,26.4,0.3,Africa
Haiti,HTI,NA,54.9,4.7,North America
Honduras,HND,NA,19.6,1.2,North America
India,IND,AS,17.2,180.9,Asia
Indonesia,IDN,AS,17.8,37.6,Asia
Iran,IRN,AS,4.9,3.2,Asia
Iraq,IRQ,AS,28.3,6.7,Asia
Jamaica,JAM,NA,7.3,0.2,North America
Jordan,JOR,AS,8.1,0.4,Asia
Kazakhstan,KAZ,AS,5.9,0.9,Asia
Kenya,KEN,AF,32.2,10.0,Africa
Kyrgyzstan,KGZ,AS,16.3,0.8,Asia
Laos,LAO,AS,37.6,2.0,Asia
Latvia,LVA,EU,5.2,0.1,Europe
Lesotho,LSO,AF,13.7,0.3,Africa
Liberia,LBR,AF,38.4,1.1,Africa
Lithuania,LTU,EU,2.9,0.1,Europe
Madagascar,MDG,AF,34.2,5.4,Africa
Malawi,MWI,AF,27.1,3.0,Africa
Malaysia,MYS,AS,2.8,0.7,Asia
Mali,MLI,AF,14.6,1.6,Africa
Mauritania,MRT,AF,11.7,0.3,Africa
Mexico,MEX,NA,4.4,4.6,North America
Mongolia,MNG,AS,35.1,0.8,Asia
Morocco,MAR,AF,6.8,2.0,Africa
Mozambique,MOZ,AF,40.3,7.4,Africa
Myanmar,MMR,AS,48.4,23.1,Asia
Namibia,NAM,AF,26.3,0.5,Africa
Nepal,NPL,AS,22.0,5.2,Asia
Nicaragua,NIC,NA,32.6,1.6,North America
Niger,NER,AF,21.8,2.4,Africa
Nigeria,NGA,AF,9.4,11.5,Africa
Oman,OMN,AS,11.8,0.3,Asia
Pakistan,PAK,AS,23.4,32.4,Asia
Panama,PAN,NA,27.7,0.8,North America
Paraguay,PRY,SA,12.9,0.7,South America
Peru,PER,SA,21.8,5.7,South America
Philippines,PHL,AS,20.4,15.9,Asia
Moldova,MDA,EU,19.6,0.8,Europe
Russia,RUS,AS,5.1,7.4,Asia
Rwanda,RWA,AF,54.9,4.4,Africa
Saudi Arabia,SAU,AS,6.2,1.3,Asia
Senegal,SEN,AF,28.5,2.8,Africa
Sierra Leone,SLE,AF,39.9,1.6,Africa
Slovakia,SVK,EU,5.9,0.3,Europe
South Africa,ZAF,AF,4.7,2.1,Africa
Sri Lanka,LKA,AS,29.6,5.6,Asia
Swaziland,SWZ,AF,19.3,0.2,Africa
Tajikistan,TJK,AS,42.4,2.6,Asia
Thailand,THA,AS,18.8,11.8,Asia
Macedonia,MKD,EU,7.9,0.2,Europe
East Timor,TLS,AS,40.8,0.3,Asia
Togo,TGO,AF,30.4,1.5,Africa
Trinidad and Tobago,TTO,NA,11.6,0.1,North America
Tunisia,TUN,AF,4.9,0.5,Africa
Turkmenistan,TKM,AS,8.2,0.4,Asia
Uganda,UGA,AF,27.9,6.6,Africa
Ukraine,UKR,EU,4.5,2.2,Europe
Tanzania,TZA,AF,36.7,12.5,Africa
Uruguay,URY,SA,4.2,0.1,South America
Uzbekistan,UZB,AS,16.4,4.0,Asia
Venezuela,VEN,SA,16.4,4.0,South America
Vietnam,VNM,AS,24.3,19.5,Asia
Yemen,YEM,AS,29.9,5.3,Asia
Zambia,ZMB,AF,47.6,5.0,Africa
Zimbabwe,ZWE,AF,43.3,5.4,Africa
