Country,iso3,Continent Code,Percent,Millions,Continent Name
Albania,ALB,EU,8.7,0.3,Europe
Algeria,DZA,AF,9.7,3.1,Africa
Angola,AGO,AF,42.7,6.9,Africa
Argentina,ARG,SA,4.9,1.9,South America
Armenia,ARM,AS,20.8,0.6,Asia
Azerbaijan,AZE,AS,15.0,1.2,Asia
Bangladesh,BGD,AS,18.2,24.8,Asia
Belarus,BLR,EU,3.2,0.3,Europe
Benin,BEN,AF,18.6,1.4,Africa
Bolivia (Plurinational State of),BOL,SA,31.2,2.7,South America
Bosnia and Herzegovina,BIH,EU,4.8,0.2,Europe
Botswana,BWA,AF,34.7,0.6,Africa
Brazil,BRA,SA,8.7,15.8,South America
Bulgaria,BGR,EU,5.6,0.4,Europe
Burkina Faso,BFA,AF,25.8,3.2,Africa
Cambodia,KHM,AS,23.3,3.0,Asia
Cameroon,CMR,AF,26.3,4.4,Africa
Central African Republic,CAF,AF,41.6,1.6,Africa
Chad,TCD,AF,39.7,3.6,Africa
Chile,CHL,SA,4.2,0.6,South America
China,CHN,AS,15.8,207.1,Asia
Colombia,COL,SA,9.2,3.8,South America
Congo,COD,AF,27.9,0.9,Africa
Congo,COG,AF,27.9,0.9,Africa
Costa Rica,CRI,NA,5.7,0.2,North America
Ivory Coast,CIV,AF,18.5,3.2,Africa
Croatia,HRV,EU,5.8,0.3,Europe
North Korea,PRK,AS,35.5,8.3,Asia
Djibouti,DJI,AF,43.0,0.3,Africa
Dominican Republic,DOM,NA,27.5,2.4,North America
Ecuador,ECU,SA,18.9,2.5,South America
Egypt,EGY,AF,5.2,3.7,Africa
El Salvador,SLV,NA,9.0,0.5,North America
Ethiopia,ETH,AF,46.7,32.9,Africa
Gabon,GAB,AF,10.2,0.1,Africa
Gambia,GMB,AF,13.9,0.2,Africa
Georgia,GEO,AS,11.6,0.5,Asia
Ghana,GHA,AF,12.3,2.4,Africa
Guatemala,GTM,NA,16.7,2.0,North America
Guinea,GIN,AF,24.7,2.3,Africa
Guinea-Bissau,GNB,AF,24.7,0.3,Africa
Haiti,HTI,NA,56.9,5.0,North America
Honduras,HND,NA,17.9,1.2,North America
India,IND,AS,19.8,215.6,Asia
Indonesia,IDN,AS,18.4,40.1,Asia
Iran,IRN,AS,5.7,3.8,Asia
Iraq,IRQ,AS,26.6,6.6,Asia
Jamaica,JAM,NA,6.5,0.2,North America
Jordan,JOR,AS,5.2,0.3,Asia
Kazakhstan,KAZ,AS,5.7,0.9,Asia
Kenya,KEN,AF,34.1,11.2,Africa
Kyrgyzstan,KGZ,AS,14.3,0.7,Asia
Laos,LAO,AS,33.8,1.9,Asia
Lesotho,LSO,AF,12.6,0.2,Africa
Liberia,LBR,AF,40.6,1.2,Africa
Lithuania,LTU,EU,3.1,0.1,Europe
Madagascar,MDG,AF,36.9,6.2,Africa
Malawi,MWI,AF,27.0,3.2,Africa
Malaysia,MYS,AS,3.5,0.9,Asia
Mali,MLI,AF,13.6,1.6,Africa
Mauritania,MRT,AF,11.5,0.3,Africa
Mexico,MEX,NA,4.8,5.1,North America
Mongolia,MNG,AS,32.7,0.8,Asia
Morocco,MAR,AF,6.4,1.9,Africa
Mozambique,MOZ,AF,39.2,7.6,Africa
Myanmar,MMR,AS,41.4,20.2,Asia
Namibia,NAM,AF,24.4,0.5,Africa
Nepal,NPL,AS,20.3,5.0,Asia
Nicaragua,NIC,NA,27.4,1.4,North America
Niger,NER,AF,18.6,2.2,Africa
Nigeria,NGA,AF,9.0,11.7,Africa
Oman,OMN,AS,11.5,0.3,Asia
Pakistan,PAK,AS,25.7,37.1,Asia
Panama,PAN,NA,24.3,0.8,North America
Paraguay,PRY,SA,11.5,0.6,South America
Peru,PER,SA,22.3,5.9,South America
Philippines,PHL,AS,19.1,15.6,Asia
Moldova,MDA,EU,20.0,0.8,Europe
Russia,RUS,AS,3.7,5.4,Asia
Rwanda,RWA,AF,45.3,3.9,Africa
Saudi Arabia,SAU,AS,7.1,1.6,Asia
Senegal,SEN,AF,26.4,2.7,Africa
Sierra Leone,SLE,AF,40.3,1.8,Africa
Slovakia,SVK,EU,6.7,0.4,Europe
South Africa,ZAF,AF,4.3,2.0,Africa
Sri Lanka,LKA,AS,29.9,5.7,Asia
Swaziland,SWZ,AF,16.2,0.2,Africa
Tajikistan,TJK,AS,44.2,2.8,Asia
Thailand,THA,AS,17.0,10.9,Asia
Macedonia,MKD,EU,8.5,0.2,Europe
East Timor,TLS,AS,32.2,0.3,Asia
Togo,TGO,AF,29.2,1.5,Africa
Trinidad and Tobago,TTO,NA,11.3,0.1,North America
Tunisia,TUN,AF,5.6,0.5,Africa
Turkmenistan,TKM,AS,6.9,0.3,Asia
Uganda,UGA,AF,26.6,6.8,Africa
Ukraine,UKR,EU,2.8,1.4,Europe
Tanzania,TZA,AF,37.0,13.3,Africa
Uruguay,URY,SA,4.1,0.1,South America
Uzbekistan,UZB,AS,19.9,5.0,Asia
Venezuela,VEN,SA,16.9,4.3,South America
Vietnam,VNM,AS,20.7,17.0,Asia
Yemen,YEM,AS,30.7,5.8,Asia
Zambia,ZMB,AF,50.2,5.6,Africa
Zimbabwe,ZWE,AF,42.4,5.4,Africa
